deal_id,dealname,amount,data_consegna,pipeline_id,dealstage_id,dealtype,description,hs_forecast_probability,hs_deal_stage_probability,art14_trat,campione,pipeline,dealstage
250562781417,25_PETTENON Cosmetic_budgetART14,84850.0,2026-10-24,default,1818386657,,,0.9,0.9,,,Pipeline delle vendite,Lead/Coltivazione
314791328986,25_Vivienne Westwood,4000.0,2026-06-08,default,1818386657,,,0.9,0.9,false,,Pipeline delle vendite,Lead/Coltivazione
314792048840,25_FALCONERI-camicie_mar,145550.0,2026-03-16,default,closedwon,,"Ciao A tutti, 
in ALLEGATO programmazione FALCONERI PE 26 per 
2050 CAMICIE per il 27 Febbraio 2025
230 abiti midi per il 3 Aprile 2025 

In questi gg ci arrivano i campioni per controcampionarli come da incontro avvenuto ieri e per prezzo definitivo e schede… 

Intanto giro per programmazione approssimativa in attesa di definitive:
@Mara Giacomazzi mandare conferma ordine + AVZ + CRM + MAGO 
@Giulia Pasquali + @Vivian Okoh far arrivare tessuti e kit di accessori da cliente 
@Davide Spagnolo per eventuali acquisti 
@Alessandro Ramponi e @Angelo Veltri per programmazione e produzione 
@Silvia Avesani dianmiche specifiche in scheda in arrivo per pack falconeri 
@Franco Maestrello ritiro a carico di Falconeri da accordare a ridosso della consegna. 

@Martina Liviero e @Vanessa Cento ogni dinamica di comunicazione dovrebbe essere identica all’invernale appena sviluppato. 

Grazie a tutti per la collaborazione 


Marco Penazzi
",1,1,,,Pipeline delle vendite,Chiusa/conseguita
314794208462,25_MONDE_budgetART14,29000.0,2026-10-12,default,1895821532,,,0.9,0.9,true,,Pipeline delle vendite,Preventivo/negoziazione
314794208467,25_Sonepar Italia_budgetART14,134500.0,2026-06-15,default,closedwon,,"Ciao a tutti,
In allegato ACCORDO DI FORNITURA SONEPARA QUID per 
2000 TSHIRT 
2000 POLO 
900 PANTALONI 
Come fornitura anno precedente. 
ACCETTANO 3% 

Importo totale fornitura 134.500,00 +Iva 
Delivery: metà della fornitura di ogni articolo per metà Giugno, saldo per metà Ottobre 2026 

A seguire per operatività:
@Mara Giacomazzi sei in copia su cliente per PO e dinamiche logistica + CRM + Mago + AVZ 
@Alessandra Bertoldi + @Isabella Delledonne per sblocco taglio e kit 
@Matteo Bonetti per acquisti NB: valutare eventuali giacenze di materia prima da forniture precedenti !!!
@Alessandro Ramponi e @Angelo Veltri per programmazione e produzione 
@Silvia AvesaniPack Singolo Polybag, divisione per taglia, riempimento colli, Etichetta barcode su singolo pz e su collo.

NB: fare memoria degli errori su precedente fornitura. 
@Franco Maestrello abbiamo già stiamo 840 euro di SERIVIZI DI LOGISTICA con ricarico incluso. Prima di ogni spedizione raccordarsi con @Mara Giacomazzi e logistica esterna a cliente per PO precisi pr quantità e taglia e per spese di logistica. 

Grazie a tutti per la collaborazione. 


Marco Penazzi

",0.9,1,true,,Pipeline delle vendite,Chiusa/conseguita
314867971273,25_Zanardi Fonderie_divise,28116.4,2026-06-30,default,closedwon,," 
Ciao a tutti, 
Allego ERRATA CORRIGE che annulla e SOSTITUISCE PRECEDENTE: 
TSHIRT 346 pz in consegna su fine Aprile 2026 , se riusciamo anticipare meglio. Confermato 
FELPE 358 pz  in consegna su metà fine Agosto 2026 Confermato 
AGGIUNTA: 230 SCALDACOLLO per fine AGOSTO 2026 
PATCH 544 con relativa applicazione custom  in corrispondenza delle due delivery di cui sopra DIVENTANO 1072, perchè vanno applicati sia sul fronte che sul retro. 


Ciao a tutti, 
In allegato ACCORDO di FORNITURA ZANARDI QUID parte 1 + specchietto colori e taglie  per 
TSHIRT 346 pz in consegna su fine Aprile 2026 , se riusciamo anticipare meglio. 
FELPE 358 pz  in consegna su metà fine Agosto 2026 
PATCH 544 con relativa applicazione custom  in corrispondenza delle due delivery di cui sopra
Accettano 3% 
Importo Totale Fornitura: 24.309,20 + Iva 

Come anno precedente. 

A seguire per operatività: 
@Alessandra Bertoldi terminare revisione taglia felpe per approvazione 
@Mara Giacomazzi sei in copia su cliente per PO, conferma ordine, MAGO, CRM AVZ 
@Alessandra Bertoldi + @Isabella Delledonne per sblocco taglio e kit 
@Matteo Bonetti per acquisti tessuti e accessori + patch 
NB: sono basici di cui potremmo avere giacenze in casa da precedenti forniture. 
@Alessandro Ramponi e @Angelo Veltri per programmazione e produzione 
@Silvia Avesani pack singolo suddiviso per taglia in vista suddivisi per nomi + card collabo singola, come anno scorso. 
@Franco Maestrello logistica come extra con ricarico 


Grazie a tutti per la collaborazione. 

Marco Penazzi
",1,1,true,,Pipeline delle vendite,Chiusa/conseguita
350015195341,25_ZALANDO_zaino,6000.0,2026-03-31,default,1818386657,,,0.9,0.9,,,Pipeline delle vendite,Lead/Coltivazione
352206837991,25_MONDE_felpa_feb 2026,16500.0,2026-02-27,default,closedwon,,"Ciao a tutti, 
in allegato ACCORDO DI FORNITURA MONDE QUID per 
300 FELPE ARON 
Come precedente fornitura 
Accettano 3% 
Importo Totale: 16.500 euro + Iva 
Consegna: Fine Febbraio 2026 

A seguire per operatività: 
@Mara Giacomazzi sei in copia su cliente per conferma oridine, chiedere split taglie, CRM; MAGO , AVZ 
@Alessandra Bertoldi e @Isabella Delledonne la Diba è di un anno fa, se volete dargli una controllata, quindi sblocco taglio e kit 
@Davide Spagnolo per sblocco acquisti 
@Alessandro Ramponi e @Angelo Veltri per programmazione e produzione. 
@Silvia Avesani pack multiplo suddiviso per taglie 
@Franco Maestrello spedizione come extra con ricarico in fattura. 

Grazie a tutti per la collaborazione 

Marco Penazzi
",1,1,true,,Pipeline delle vendite,Chiusa/conseguita
355200174266,"25_BLASTNESS GROUP HOLDING _zaini riordino ""special""",10000.0,2026-02-27,default,closedwon,,"CARD RIVISTA DAL CLIENTE

Ciao a tutti, 
in allegato ACCORDO DI FORNITURA BLASTNESS_ QUID per 
200 ZAINI LEONE SPECIAL come precedente fornitura 
Per Fine Febbraio 2026 
Importo totale 10.000 euro + Iva 
Accettano 3% 

A seguire per operatività:
@Giulia Pasquali e @Mara Giacomazzi siete in copia su cliente per conferma entro la settimana. 
@Mara Giacomazzi per conferma ordine, intestazione corretta, forse cambiano intestazione societaria, CRM, MAGO, AVZ 
@Giulia Pasquali su base conferma cliente rivedere scheda costo sulla prossima settimana 
@Giulia Pasquali + @Vivian Okoh sblocco taglio e kit ( valutare avanti da precedente fornitura. 
@Davide Spagnolo per acquisti 
@Alessandro Ramponi e @Angelo Veltri per programmazione e produzione 
@Silvia Avesani pack a rimepimento colli con CARD di collaborazione 
@Martina Liviero + @Vanessa Cento  mandare in stampa CARD per come da precedente fornitura. 
@Franco Maestrello spedizione come extra con ricarico in fattura. 

Grazie a tutti per la collaborazione. 

Marco Penazzi
",1,1,,,Pipeline delle vendite,Chiusa/conseguita
355716266208,25_Eurotel,13200.0,2026-04-27,default,1818386657,,,0.9,0.9,false,,Pipeline delle vendite,Lead/Coltivazione
362827020510,25_Illumia_porta pc_riordino,1920.0,2026-02-27,default,closedwon,,"Ciao a tutti, 
Con la presente per mandare ACCORDO INTEGRATIVO AGGIUNTIVO per 
100 PORTAPC ILLUMIA, 
Accettano 3% 
Importo Totale 1920,00 + Iva 
Consegna open, quando volgiamo fino a febbraio 2026. 

NB: sono appena stati sbloccati 300 pezzi a cui questi 100 si possono aggiungere o mandare avanti su batch di produzione successivo. 

Per operatività: 
= a come sotto da precedente accordo. 

Grazie a tutti per la collaborazione. 

Marco Penazzi
",1,1,,,Pipeline delle vendite,Chiusa/conseguita
371120491763,25_Generali Group_POCHETTE GO GENERALI_FEB 26,2100.0,2026-02-27,default,closedwon,,"Ciao a tutti, in allegato 2 ACCORDI DI FORNITURA GENERALI QUID per: 
-100 ZAINI NIKKO 
per Fine DICEMBRE 2025
Importo totale 2300 euro + Iva 
Sono già quantificati 30 euro di spedizione. 


-300 PORTA PC PANCRAZIO 
-300 POUCH MAN PELLE 
-250 ZAINO LEONE 
-250 CASE UMBERTO 
Per fine Marzo 2026 
Importo totale 27.200 + Iva 
+ 480 eur odi servizi exra di packaging e logistica. 

Sono già, infatti, quantificate spese di spedizione e il packaging con i prodotti in arrivo da IDEA PRIMA (agende e penne) comprati da cliente. 

Tutti i prodotti identici a precedente fornitura. 
Accettano 3%, ma a consuntivo, prima di spedire vanno fatti modificare i PO relativi @Mara Giacomazzi-

A seguire per operatività:
@Mara Giacomazzi sei in copia su cliente per PO, AVZ, CRM e MAGO. 
@Giulia Pasquali e @Vivian Okoh verificare Diba e selezione materiali  quindi 
@Davide Spagnolo per sblocco acquisti.
@Alessandro Ramponi e @Angelo Veltri per programmazione e produzione.

@Vanessa Cento in accordo con @Giulia Pasquali capire quali flyer sbloccare per riporduzione come anno precedente in base al prodotto. 

@Silvia Avesani
Per ZAINO NIKKO, pack singolo con card di collabo, riempimento colli.
Per i WELCOME KIT LIGHT E FULL, le dinamiche sono le stesse dell’anno scorso, arrivano materiali su cui ti raccorderanno @Giulia Pasquali e @Vivian Okoh da assemblare.

@Franco Maestrello le spedizioni sono già quantificate nelle cirfre di cui sopra, quindi da registrare per come indicato senza eccezioni.

Grazie a tutti per la collaborazione. 


Marco Penazzi
",1,1,,,Pipeline delle vendite,Chiusa/conseguita
372268956887,25_Sanmarco Informatica ,35000.0,2026-02-27,default,closedlost,,,0.9,0,,,Pipeline delle vendite,Chiusura persa
373922344163,25_Intesa Sanpaolo_zaini,7800.0,2026-02-27,default,2036681954,,"AGGIORNAMENTO PREZZO 
Ciao a tutti, 
Il presente ordine è sbloccato con una variazione accordata in termini di prezzo: passa da euro 48 a 52.00 
In allegato relativa revisione approvata. 
Si può procedere per come sotto. 
Grazie 


Ciao a tutti, 
Con la presente per mandare ACCORDO DI FORNITURA INSESA SAN PAOLO SRL_ QUID IMPRESA SOCIALE per 
150 Zaini Leone con RICAMO + ZIP ARANCIONI 
Accettano 3% 
Importo totale: 7200,00 euro + Iva 
Spese di spedizione già preventivate in ordine per euro 120.00  + Iva
Delivery: fine Febbraio 2026  

A seguire per operatività:
@Giulia Pasquali mandare foto di prova ricamo per approvazione 
@Giulia Pasquali + @Vivian Okoh sblocco taglio + Kit 
@Matteo Bonetti per acquisti 
@Alessandro Ramponi + @Angelo Veltri per programmazione + produzione 
@Silvia Avesani inserire FLYER STANDARD QUID + Pack a riempimento colli 
@Franco Maestrello in preventivo e in ordine ci sono già 120 euro di spedizione, dovresti starci dentro molto bene. 
In caso contrario avvisaci che rettifichiamo, altrimenti inserisci quelli. 

Grazie a tutti per la collaborazione. 

Marco Penazzi
",0,1,,,Pipeline delle vendite,Consegnato
374103752894,25_PETTENON Cosmetic_BORSONE_MAR,48000.0,2026-03-31,default,closedwon,,"Ciao A tutti, 
In allegato ACCORDO DI FORNITURA PETTENON QUID per 
800 BORSONI TRAVEL PREMIUM ECOPELLE- PELLE con ricamo 
Accettano 3% 
Importo totale 48.000,00 euro + Iva 

A seguire per operatività:
@Giulia Pasquali sei in copia su cliente per approvazione ricamo entro gennaio e per verificare disponibilità di metallerie CANNA DA FUCILE o Alluminio 
@Mara Giacomazzi sei in copia su cliente per conferma ordine, PO , CRM, MAGO AVZ 
@Giulia Pasquali + @Vivian Okoh per sblocco taglio e kit 
@Alessandro Ramponi e @angelo per programmazione e produzione 
@Silvia Avesani pack singolo e colli a riempimento 
@Franco Maestrello spedizioni come extra con ricarico in fattura, 
Grazie a tutti per la collaborazione. 


Marco Penazzi
",1,1,,,Pipeline delle vendite,Chiusa/conseguita
374641337573,25_atelier eme_MARRAS_KIMONO GAVOI,26377.2,2026-03-31,default,closedwon,,"Ciao a tutti,
 in allegato programmazione di accordo di fornitura MARRAS EME_ QUID per 
Linea	MODELLO	DESCRIZIONE	COLORE	Made In	FORNITORE	QTA	PREZZO 
	ARRIVO MATERIALI	SPEDIZIONE PRODOTTO FINITO
MARRAS PE26	MBOL273	GAVOI ROUND	SB7FG	IT	QUID	70	74,92
	12/12/2025	30/01/2026
MARRAS PE26	MBOL281	KIMONO REGULAR	SB7GR	IT	QUID	86	83,20
	23/01/2026	13/02/2026
MARRAS PE26	MBOL275	KIMONO LUNGO	NE7FG	IT	QUID	50	83,20	23/01/2026	20/02/2026
MARRAS PE26	MBOL277	KIMONO REGULAR	CR7NE	IT	QUID	54	83,20	09/01/2026	27/02/2026
MARRAS PE26	MBOL278	KIMONO REGULAR	SB7BX	IT	QUID	64	83,20	13/02/2026	06/03/2026

Con diverse date di arrivo e di consegna tra Gennaio 26 e Marzo 26 … 
IMPORTO TOTALE 26.377,20 + IVA 

Sappiamo che sono sempre in ritardo, quindi accogliamo l’ordine con FLESSIBILITA’ 

A seguire per operatività: 
@Mara Giacomazzi sei in copia su cliente per conferma ordine, MAGO, AVZ , CRM 
@Alessandra Bertoldi e @Isabella Delledonne per arrivo tagliato e kit da cliente 
@Matteo Bonetti nessun acquisto 
@Alessandro Ramponi e @Angelo Veltri per programmazione e produzione 
@Silvia Avesani solito pack speciale MARRAS 
@Franco Maestrello solito ritiro da parte di MARRAS in appeso. 

Grazie a tutti per la collaborazione. 

Marco Penazzi
",1,1,,,Pipeline delle vendite,Chiusa/conseguita
375011244256,26_Meccarni_shoppingbag_evento,2470.0,2026-02-13,default,2036681954,," 
Ciao a tutti, 
in allegato ACCORDO DI FORNITURA MEC CARNI LEVONI_ QUID per 
260 SHOPPER OVIEDO (già prodotte e precedentemente destinate a commessa ISTITUTZIONALE) con stampa. 
Accettano 3% 
Importo Totale: 2470,00 euro + IVa 
Consegna tassativa 13 Febbraio 2026 
Ref commerciale @Giorgia Magnabosco

A seguire per operatività:
@Mara Giacomazzi sei in copia su cliente per conferma ordine, CRM, MAGO, AVZ e definitive di logistica 
@Martina Cagalli + @Vivian Okoh sbloccare shopper già fatte su stampatore. 
@Matteo Bonetti per acquisti 
@Alessandro Ramponi + @Angelo Veltri nessuna operatività in produzione se non su 
@Silvia Avesani per HANGTAG SINGOLO STANDARD  e pack a riempimento colli 
@Franco Maestrello spese di logistica con ricarico da aggiungere in fattura. 

Grazie a tutti per la collaborazione 

Marco Penazzi
",0,1,,,Pipeline delle vendite,Consegnato
378155859160,25_KPMG_CASE UMBERTO_31aug26,4350.0,2026-08-31,default,closedwon,,"Ciao a tutti , 
In allegato ACCORDO DI FORNITURA KPMG _QUID per 
500 CASE UMBERTO con ETICHETTA 
SPEDIZIONE: 31 AGOSTO  2026 

Importo totale: 4350,00 + Iva 
Accettano 3% 


A seguire per operatività: 
@Martina Cagalli + @Isabella Delledonne sollecitare cliente per scelta materiali e sbloccare taglio e kit 
@Mara Giacomazzi sei in copia su cliente per Portali nuovi cliente,  PO, firma, CRM, MAGO e AVZ + logistica dettagli 
@Matteo Bonetti per acquisti 
@Alessandro Ramponi e @Angelo Veltri per programmazione e produzione 
@Silvia Avesani HANGTAG QUID STANDARD e pack a riempimento colli 
@Franco Maestrello spedizione come extra con ricarico in fattura, 

Grazie a tutti per la collaborazione. 
",1,1,,,Pipeline delle vendite,Chiusa/conseguita
386118568140,25_Cardioline_zaini,4800.0,2026-02-20,default,closedlost,,,0.9,0,,,Pipeline delle vendite,Chiusura persa
409044355309,25_Gruppo Autoserenissima_articoli vari_26,12568.0,2026-06-01,default,1896036572,,,0.9,0.9,,,Pipeline delle vendite,Sviluppo Campione
420368693461,25_PETTENON Cosmetic_twilly,41650.0,2026-05-01,default,closedwon,,"Ciao a tutti, 
In allegato ACCORDO DI FORNITURA PETTENON QUID per 
3500 BANDEAU CIRELLA ALLOVER 
Accettano 3% 
Importo Totale: 41.650,00 + Iva 
Delivery: Inizio Maggio 2026 

A seguire per operatività:
@Giulia Pasquali terminare selezione tessuti con cliente e all’occorrenza attivare stocckista LISA di riferimento. 
@Mara Giacomazzi sei in copia su cliente per CRM, AVZ , CONFERMA e MAGO , chiedere PO e BAR CODE 
@Giulia Pasquali + @Vivian Okoh sblocco taglio e kit 
@Matteo Bonetti per acquisti 
@Alessandro Ramponi e @Angelo Veltri per programmazione e produzione 
@Silvia Avesani hangtag singolo, pack singolo + barcode. 
@Franco Maestrello spedizione come extra con ricarico in fattura a destinazione TBD. 

Grazie a tutti per la collaborazione. 

Marco Penazzi

",1,1,,,Pipeline delle vendite,Chiusa/conseguita
420946104513,25_DATACOL SRL_VARIE,57300.0,2026-02-27,default,closedwon,,"Ciao a tutti, 
In allegato ACCORDO DI FORNITURA DATACOL QUID per 
600 ZAINI LEONE
450 FELPE 
300 BORSONI TRAVEL PREMIUM 
Consegne Varie da fine Febbraio a Settembre 2026 
Tutto anticipatile, non troppo posticipatile ma negoziabile. ( PER TEMPO ) 
Accettano 3% 
Importo Totale : 57.300 euro + Iva 

@Giulia Pasquali + @Vivian Okoh  ci sono alcune modifiche da approvare via rendering, a livello di colori zip e materiali che non impatteranno le schede costi a livello di costo ma a livello di lavorazioni sono da modificare leggermente. 
Su tutti i prodotti mettiamo la personalizzazione PATWORK TBD 

@Mara Giacomazzi sei in copia su cliente per PO, CRM ; AVZ e logistica 
@Giulia Pasquali  + @Vivian Okoh dopo approvazione sblocco taglio e kit 
@Matteo Bonetti per acquisti 
@Alessandro Ramponi e @Angelo Veltri per programmazione e produzione 
@Silvia Avesani pack singolo con BARCODE e TAGLIE BENE IN VISTA sulle felpe 
@Franco Maestrello spedizioni da aggiungere con ricarico in fattura. 

Grazie a tutti per la collaborazione. 
 



Marco Penazzi
",1,1,,,Pipeline delle vendite,Chiusa/conseguita
421037647063,25_KERING_SHOPPER,50002.5,2026-04-01,default,closedwon,,"Ciao a tutti, 
In allegato ACCORDO DI FORNITURA KERING QUID per 
6780 SHOPPER BIG 
1695 SHOPPER SMALL 
Importo totale 50.000 euro
Accettano 3% in più, ma non di più come nelle ultime spedizioni.  

NB: in accordo vedere anche un importo di 15.000 TBD, che sarà definito e da non mettere in programmazione al momento. 
E’ solo ai fini della convenzione HR 

DELIVERY: open APRILE _ GIUGNO, di base il cliente è coperto fino a a MARZO, ma ad aprile potrebbe volerle velocemente, quindi chiederei di averne almeno la metà di entrambe i formati per fine Aprile e il resto su Maggio per poi spingere ulteriormente sulla seconda parte di anno. 

A seguire per operatività: 
@Mara Giacomazzi sei in copia su cliente che deve mandare PO con incluso il 3% + CRM, MAGO+ AVZ 
@Giulia Pasquali + @Vivian Okoh sblocco taglio e kit da tessuti a magazzino KERING + Misto fritto. 
@Matteo Bonetti per acquisti, NB fare prima la situazione manici IN CASA e comprare solo il necessario. 
@Alessandro Ramponi e @Angelo Veltri per programmazione e produzione 
PER FAVORE: ricordiamoci di non buttare o far arrivare da esterni le shopper in sacchi stropicciate… perchè rendono + difficile la piegatura per il pack e perchè si presentano male alle svendite di KERING. 
@Silvia Avesani, come solito, piegate in colli a riempimento 
@Franco Maestrello logistica come extra da definirsi di volta in volta con @Mara Giacomazzi.

Grazie a tutti per la collaborazione. 


Marco Penazzi
",1,1,,,Pipeline delle vendite,Chiusa/conseguita
421037759692,26_KEMINOVA_FOULARD,5200.0,2026-03-13,default,closedwon,,"Ciao a Tutti, 
In allegato ACCORDO DI FORNITURA KEIMINOVA QUID per 
200 FOULARD SETA STAMPATI 90 x90 
Importo totale 5200 euro + Iva 
Ref commerciale @Giorgia Magnabosco

Delivery 10-15 marzo massimo tassativo per evento. 
Accettano 3% 

A seguire per operatività:
@Mara Giacomazzi sei in copia su cliente per PO, firma, CRM, MAGO , AVZ 
@Martina Cagalli sblocco urgente 
NB: ho modificato accordo mettendo IMBUSTO SINGOLO, modifica anche scheda. 

@Matteo Bonetti per acquisti 
NB: GENTILI E MOSCONI DEVE ESSERE RAPIDO E non mandare troppo materiale in più. Fa sempre quello che gli pare.. . 
@Alessandro Ramponi e @Angelo Veltri per programmazione e produzione 
@Silvia Avesani pack singolo + card standard 
@Franco Maestrello come extra con ricarico in fattura. 

Grazie a tutti per la collaborazione. 

Marco Penazzi
",1,1,false,,Pipeline delle vendite,Chiusa/conseguita
